name,price,rating,url,Processor,Processor_Gen,RAM,RAM_Type,Operating_System,SSD,Display_Size,Warranty,Graphics,Other_Specs,Description
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (8 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics/NVIDI...,52990,3.6,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-5-hexa-core-7535hs-8-gb-512-gb-ssd-windows-11-pro-4-graphics-nvidia-geforce-rtx-2050-fa506nf-hn578w-laptop/p/itm10514ecd2a794?pid=COMH3BGBNJYFUAMQ&lid=LSTCOMH3BGBNJYFUAMQOWXSMQ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_47&otracker=search&otracker1=search&fm=organic&iid=en_My9Asnt4C9Ho3UUhAmE9_tYgnKrtwPqqjAnJLWt4vFEo2cbH7-9eZGIKQarJewLFJo4BbJgW-_IB-cgvlErRXPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=a0ip81j38g0000001746436026717&qH=c06ea84a1e3dc3c6,AMD Ryzen 5,Not Specified,8,DDR5,Windows 11 Operating System,512 GB SSD,39.62,1 Year Onsite Warranty,Integrated,[],"AMD Ryzen 5, 8 GB DDR5, Windows 11 Operating System, 512 GB SSD, 39.62 cm Display, 1 Year Onsite Warranty"
HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,59990,3.9,https://www.flipkart.com/hp-victus-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15-fa2703tx-gaming-laptop/p/itm280d703c08614?pid=COMH8VXV7FW2SDAX&lid=LSTCOMH8VXV7FW2SDAXP1L8IA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_48&otracker=search&otracker1=search&fm=organic&iid=en_My9Asnt4C9Ho3UUhAmE9_tYgnKrtwPqqjAnJLWt4vFHuXJ1BkcRZC5-SrnMudC9kpLa2FZ81_9jiNI19W98Wu4E8waCTrWcncKeK_ydPfoM%3D&ppt=None&ppn=None&ssid=a0ip81j38g0000001746436026717&qH=c06ea84a1e3dc3c6,Intel Core i5,Not Specified,16,DDR4,Windows 11 and Microsoft Office Home & Student Edition 2024,512 GB SSD,39.62,1 Year Carry-in Warranty,Integrated,[],"Intel Core i5, 16 GB DDR4, Windows 11 and Microsoft Office Home & Student Edition 2024, 512 GB SSD, 39.62 cm Display, 1 Year Carry-in Warranty"
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis Intel Core Ultra 5 226V - (16 GB/512 GB SSD/Windows 1...,114990,4.9,https://www.flipkart.com/samsung-galaxy-book5-360-ai-pc-full-metal-chasis-intel-core-ultra-5-226v-16-gb-512-gb-ssd-windows-11-home-np750qha-2-1-laptop/p/itmc76ec3e8002b4?pid=COMH9PHPRY2KUCGG&lid=LSTCOMH9PHPRY2KUCGGMW1YZ7&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_hoG5WGcxIPLz6st4MWBhsaSNRtNJS8TnBaTpvb8Wow0USUPjVTPo_BnJNyDURbOQLyoUczUHBTCLUCyjgulNafUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=d3sbsrhgeo0000001746436037954&qH=c06ea84a1e3dc3c6,Unknown,Not Specified,16,LPDDR5X,Windows 11 Operating System,512 GB SSD,39.62,1 Year Onsite Warranty,Integrated,['Intel Core Ultra 5 Processor'],"16 GB LPDDR5X, Windows 11 Operating System, 512 GB SSD, 39.62 cm Display, 1 Year Onsite Warranty, Intel Core Ultra 5 Processor"
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,44990,4.3,https://www.flipkart.com/hp-backlit-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-15s-fy5002tu-thin-light-laptop/p/itm9046eaf5a4af9?pid=COMGZNSBS7Z959EW&lid=LSTCOMGZNSBS7Z959EWGCQAVA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_hoG5WGcxIPLz6st4MWBhsaSNRtNJS8TnBaTpvb8Wow1TNWnQ5AI_30uHBSorIb_pQDY-rI_swutRr_o7gCz_a_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=d3sbsrhgeo0000001746436037954&qH=c06ea84a1e3dc3c6,Intel Core i5,Not Specified,8,DDR4,64 bit Windows 11 Operating System,512 GB SSD,39.62,1 Year Onsite Warranty,Integrated,[],"Intel Core i5, 8 GB DDR4, 64 bit Windows 11 Operating System, 512 GB SSD, 39.62 cm Display, 1 Year Onsite Warranty"
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,38990,4.3,https://www.flipkart.com/acer-aspire-3-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itm707770fddc7e9?pid=COMH4B6CGZKHKUV3&lid=LSTCOMH4B6CGZKHKUV37HVWQK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=cedf742e-c7cc-49b2-a9f9-d078046d41f1.COMH4B6CGZKHKUV3.SEARCH&ppt=None&ppn=None&ssid=d3sbsrhgeo0000001746436037954&qH=c06ea84a1e3dc3c6,Intel Core i5,Not Specified,16,DDR4,Windows 11 Operating System,512 GB SSD,35.56,1 Year Carry-in Warranty,Integrated,[],"Intel Core i5, 16 GB DDR4, Windows 11 Operating System, 512 GB SSD, 35.56 cm Display, 1 Year Carry-in Warranty"
SAMSUNG Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,51990,4.5,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=cedf742e-c7cc-49b2-a9f9-d078046d41f1.COMGZUYDGFJGHZR4.SEARCH&ppt=None&ppn=None&ssid=d3sbsrhgeo0000001746436037954&qH=c06ea84a1e3dc3c6,Intel Core i5,Not Specified,16,LPDDR4X,Windows 11 Operating System,512 GB SSD,39.62,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,Integrated,[],"Intel Core i5, 16 GB LPDDR4X, Windows 11 Operating System, 512 GB SSD, 39.62 cm Display, 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories"
ASUS Expertbook P1 Intel Core i7 13th Gen 13620H - (32 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60940W...,68990,3.8,https://www.flipkart.com/asus-expertbook-p1-intel-core-i7-13th-gen-13620h-32-gb-512-gb-ssd-windows-11-home-p1403cva-s60940ws-thin-light-laptop/p/itmc8b94112958cf?pid=COMH8Z2QT98FWRGH&lid=LSTCOMH8Z2QT98FWRGH3QRD3U&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=cedf742e-c7cc-49b2-a9f9-d078046d41f1.COMH8Z2QT98FWRGH.SEARCH&ppt=None&ppn=None&ssid=d3sbsrhgeo0000001746436037954&qH=c06ea84a1e3dc3c6,Intel Core i7,Not Specified,32,DDR5,Windows 11 Home Operating System,512 GB SSD,35.56,1 Year Onsite Warranty,Integrated,"['Microsoft Office Home 2024, Microsoft 365 Basic']","Intel Core i7, 32 GB DDR5, Windows 11 Home Operating System, 512 GB SSD, 35.56 cm Display, 1 Year Onsite Warranty, Microsoft Office Home 2024, Microsoft 365 Basic"
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,16490,3.7,https://www.flipkart.com/chuwi-intel-celeron-dual-core-11th-gen-n4020-8-gb-256-gb-ssd-windows-11-home-herobook-pro-laptop/p/itm5e1f327988402?pid=COMGQHMZWHRXFWET&lid=LSTCOMGQHMZWHRXFWETVNWSPG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=en_hoG5WGcxIPLz6st4MWBhsaSNRtNJS8TnBaTpvb8Wow35ru1vCadq_cdWJsu964cWUWn0wloLAH1ZG_TgjRyGWQ%3D%3D&ppt=None&ppn=None&ssid=d3sbsrhgeo0000001746436037954&qH=c06ea84a1e3dc3c6,Unknown,Not Specified,8,DDR4,64 bit Windows 11 Operating System,256 GB SSD,35.81,1 Year Onsite Warranty,Integrated,"['Intel Celeron Dual Core Processor (11th Gen)', 'WPS Office, Operating System Software']","8 GB DDR4, 64 bit Windows 11 Operating System, 256 GB SSD, 35.81 cm Display, 1 Year Onsite Warranty, Intel Celeron Dual Core Processor (11th Gen), WPS Office, Operating System Software"
ASUS Expertbook P1 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S71042W...,62990,3.8,https://www.flipkart.com/asus-expertbook-p1-intel-core-i7-13th-gen-13620h-16-gb-512-gb-ssd-windows-11-home-p1503cva-s71042ws-thin-light-laptop/p/itmaaf79b8a24f17?pid=COMH8Z2QK37PNMFZ&lid=LSTCOMH8Z2QK37PNMFZYXNPS4&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=cedf742e-c7cc-49b2-a9f9-d078046d41f1.COMH8Z2QK37PNMFZ.SEARCH&ppt=None&ppn=None&ssid=d3sbsrhgeo0000001746436037954&qH=c06ea84a1e3dc3c6,Intel Core i7,Not Specified,16,DDR5,Windows 11 Home Operating System,512 GB SSD,39.62,1 Year Onsite Warranty,Integrated,"['Microsoft Office Home 2024, Microsoft 365 Basic']","Intel Core i7, 16 GB DDR5, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm Display, 1 Year Onsite Warranty, Microsoft Office Home 2024, Microsoft 365 Basic"
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) SFG14-73...,70990,4.1,https://www.flipkart.com/acer-swift-go-14-touchscreen-ai-pc-intel-core-ultra-7-155h-16-gb-1-tb-ssd-windows-11-home-sfg14-73t-70n9-thin-light-laptop/p/itm174fc1bfd505f?pid=COMGZH2UFKEB5PP4&lid=LSTCOMGZH2UFKEB5PP4ZOS4QG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=cedf742e-c7cc-49b2-a9f9-d078046d41f1.COMGZH2UFKEB5PP4.SEARCH&ppt=None&ppn=None&ssid=d3sbsrhgeo0000001746436037954&qH=c06ea84a1e3dc3c6,Unknown,Not Specified,16,LPDDR5X,Windows 11 Operating System,1 TB SSD,35.56,1 Year Carry-in Warranty,Integrated,['Intel Core Ultra 7 Processor'],"16 GB LPDDR5X, Windows 11 Operating System, 1 TB SSD, 35.56 cm Display, 1 Year Carry-in Warranty, Intel Core Ultra 7 Processor"
